instance,vertices,edges,partitions,runs,best,avg,std,total_time_s
ring_n10p0.1s1,8,11,4,10,2,2.00,0.00,0.013
ring_n10p0.1s2,16,45,8,10,2,2.00,0.00,0.065
ring_n10p0.1s3,16,44,8,10,2,2.00,0.00,0.062
ring_n10p0.1s4,28,149,14,10,3,3.10,0.32,0.219
ring_n10p0.1s5,20,69,10,10,3,3.00,0.00,0.105
ring_n10p0.2s1,26,124,13,10,3,3.10,0.32,0.187
ring_n10p0.2s2,36,230,18,10,3,3.20,0.42,0.419
ring_n10p0.2s3,30,168,15,10,4,4.00,0.00,0.280
ring_n10p0.2s4,42,337,21,10,4,4.30,0.48,0.643
ring_n10p0.2s5,44,355,22,10,5,5.00,0.00,0.697
ring_n10p0.3s1,38,270,19,10,4,4.10,0.32,0.492
ring_n10p0.3s2,54,540,27,10,5,5.00,0.00,1.191
ring_n10p0.3s3,42,330,21,10,4,4.40,0.52,0.639
ring_n10p0.3s4,52,519,26,10,5,5.10,0.32,1.142
ring_n10p0.3s5,62,727,31,10,6,6.10,0.32,1.783
ring_n10p0.4s1,56,593,28,10,5,5.30,0.48,1.412
ring_n10p0.4s2,72,979,36,10,6,6.40,0.52,2.792
ring_n10p0.4s3,60,688,30,10,5,5.80,0.42,1.655
ring_n10p0.4s4,68,888,34,10,6,6.10,0.32,2.282
ring_n10p0.4s5,82,1283,41,10,7,7.50,0.53,3.838
ring_n10p0.5s1,76,1099,38,10,7,7.00,0.00,3.245
ring_n10p0.5s2,94,1700,47,10,8,8.60,0.52,5.669
ring_n10p0.5s3,78,1179,39,10,7,7.10,0.32,3.411
ring_n10p0.5s4,76,1114,38,10,7,7.10,0.32,3.138
ring_n10p0.5s5,92,1621,46,10,8,8.40,0.52,5.471
ring_n10p0.6s1,98,1837,49,10,8,8.20,0.42,6.666
ring_n10p0.6s2,106,2170,53,10,9,9.20,0.42,7.797
ring_n10p0.6s3,102,2027,51,10,10,10.00,0.00,7.549
ring_n10p0.6s4,104,2084,52,10,8,8.90,0.57,7.833
ring_n10p0.6s5,102,2002,51,10,9,9.10,0.32,7.180
ring_n10p0.7s1,122,2865,61,10,9,9.90,0.32,12.008
ring_n10p0.7s2,138,3719,69,10,12,12.40,0.52,18.229
ring_n10p0.7s3,130,3288,65,10,11,11.30,0.48,14.773
ring_n10p0.7s4,132,3388,66,10,11,11.50,0.53,15.118
ring_n10p0.7s5,114,2510,57,10,9,9.60,0.52,10.383
ring_n10p0.8s1,146,4148,73,10,11,11.80,0.42,20.684
ring_n10p0.8s2,152,4529,76,10,12,13.10,0.74,28.559
ring_n10p0.8s3,144,4043,72,10,12,12.30,0.48,28.710
ring_n10p0.8s4,146,4160,73,10,11,12.10,0.57,25.285
ring_n10p0.8s5,138,3716,69,10,11,11.30,0.48,20.865
ring_n10p0.9s1,162,5144,81,10,13,13.60,0.52,29.838
ring_n10p0.9s2,164,5278,82,10,13,13.50,0.53,33.339
ring_n10p0.9s3,166,5396,83,10,13,13.70,0.48,35.067
ring_n10p0.9s4,164,5255,82,10,13,13.00,0.00,36.649
ring_n10p0.9s5,166,5414,83,10,13,13.90,0.57,36.351
ring_n10p1.0s1,180,6360,90,10,14,14.70,0.48,39.221
ring_n10p1.0s2,180,6360,90,10,14,14.40,0.52,39.994
ring_n10p1.0s3,180,6360,90,10,14,14.30,0.48,43.499
ring_n10p1.0s4,180,6360,90,10,13,14.30,0.67,40.218
ring_n10p1.0s5,180,6360,90,10,13,14.30,0.95,39.993
ring_n15p0.1s1,30,164,15,10,4,4.00,0.00,0.303
ring_n15p0.1s2,38,268,19,10,4,4.00,0.00,0.537
ring_n15p0.1s3,52,543,26,10,6,6.80,0.42,1.324
ring_n15p0.1s4,62,757,31,10,8,8.00,0.00,1.949
ring_n15p0.1s5,54,557,27,10,6,6.00,0.00,1.301
ring_n15p0.2s1,74,1081,37,10,7,7.20,0.42,3.209
ring_n15p0.2s2,100,1954,50,10,8,9.00,0.47,7.706
ring_n15p0.2s3,90,1620,45,10,9,9.60,0.52,5.975
ring_n15p0.2s4,94,1764,47,10,9,9.50,0.53,7.286
ring_n15p0.2s5,106,2198,53,10,10,10.10,0.32,8.786
ring_n15p0.3s1,116,2681,58,10,11,11.50,0.53,12.489
ring_n15p0.3s2,146,4251,73,10,13,13.70,0.48,20.659
ring_n15p0.3s3,130,3365,65,10,13,13.50,0.53,15.111
ring_n15p0.3s4,140,3900,70,10,12,12.70,0.48,18.362
ring_n15p0.3s5,150,4450,75,10,12,12.70,0.67,22.122
ring_n15p0.4s1,162,5262,81,10,15,15.40,0.52,28.334
ring_n15p0.4s2,188,7005,94,10,15,15.30,0.48,41.433
ring_n15p0.4s3,164,5402,82,10,16,16.10,0.32,29.253
ring_n15p0.4s4,180,6459,90,10,15,15.40,0.52,37.131
ring_n15p0.4s5,196,7663,98,10,17,17.30,0.48,48.640
ring_n15p0.5s1,208,8656,104,10,18,18.40,0.52,58.357
ring_n15p0.5s2,226,10167,113,10,18,18.80,0.63,72.360
ring_n15p0.5s3,208,8724,104,10,19,19.80,0.63,61.825
ring_n15p0.5s4,210,8869,105,10,17,18.20,0.63,58.920
ring_n15p0.5s5,226,10168,113,10,19,19.40,0.52,70.437
ring_n15p0.6s1,250,12442,125,10,19,20.50,0.71,92.518
ring_n15p0.6s2,258,13266,129,10,20,21.10,0.57,101.814
ring_n15p0.6s3,258,13400,129,10,23,23.50,0.53,103.955
ring_n15p0.6s4,260,13594,130,10,21,21.80,0.42,105.657
ring_n15p0.6s5,252,12682,126,10,22,22.30,0.67,95.675
ring_n15p0.7s1,288,16601,144,10,22,22.40,0.52,141.778
ring_n15p0.7s2,330,21756,165,10,26,26.30,0.48,211.135
ring_n15p0.7s3,306,18821,153,10,24,24.80,0.63,171.185
ring_n15p0.7s4,310,19300,155,10,25,25.60,0.52,177.096
ring_n15p0.7s5,282,15985,141,10,24,25.10,0.99,133.777
ring_n15p0.8s1,336,22658,168,10,25,26.40,0.84,221.177
ring_n15p0.8s2,352,24773,176,10,26,27.80,0.79,251.344
ring_n15p0.8s3,338,22942,169,10,27,27.70,0.48,225.823
ring_n15p0.8s4,344,23812,172,10,27,28.30,0.67,238.445
ring_n15p0.8s5,328,21572,164,10,26,26.90,0.57,207.011
ring_n15p0.9s1,370,27469,185,10,28,29.10,0.57,292.279
ring_n15p0.9s2,386,29922,193,10,29,30.10,0.88,331.347
ring_n15p0.9s3,380,29067,190,10,30,30.80,0.79,323.892
ring_n15p0.9s4,380,29043,190,10,30,30.60,0.70,329.415
ring_n15p0.9s5,392,30925,196,10,30,31.40,0.97,349.188
ring_n15p1.0s1,420,35490,210,10,32,32.60,0.70,426.457
ring_n15p1.0s2,420,35490,210,10,32,33.20,1.14,426.358
ring_n15p1.0s3,420,35490,210,10,32,32.50,0.53,424.578
ring_n15p1.0s4,420,35490,210,10,32,32.90,0.32,426.374
ring_n15p1.0s5,420,35490,210,10,32,33.00,0.47,426.483
ring_n20p0.1s1,56,626,28,10,7,7.00,0.00,1.558
ring_n20p0.1s2,80,1248,40,10,9,9.00,0.00,3.924
ring_n20p0.1s3,90,1590,45,10,8,8.60,0.52,5.417
ring_n20p0.1s4,92,1696,46,10,11,11.00,0.00,5.640
ring_n20p0.1s5,74,1095,37,10,8,8.40,0.52,3.269
ring_n20p0.2s1,128,3281,64,10,10,11.10,0.74,14.203
ring_n20p0.2s2,172,5954,86,10,15,15.90,0.32,33.746
ring_n20p0.2s3,162,5212,81,10,14,14.00,0.00,27.637
ring_n20p0.2s4,152,4651,76,10,14,14.30,0.48,23.598
ring_n20p0.2s5,162,5368,81,10,16,17.10,0.57,28.390
ring_n20p0.3s1,218,9509,109,10,18,19.50,0.71,64.679
